scope,Complexity,metric,Big_mean,Small_mean,n_big,n_small,U,p,cliffs_delta(Big-Small)
overall,ALL,lexical_query_overlap,0.03948917748917749,0.05412337662337663,12,12,49.5,0.203827138787949,-0.3125
overall,ALL,semantic_similarity_to_CQ,0.6558432239057238,0.7064465187590186,12,12,86.0,0.4355309985147282,0.19444444444444445
overall,ALL,semantic_soft_coverage_to_CQ,0.7072320526695527,0.7631847943722944,12,12,87.5,0.3863729644612357,0.2152777777777778
overall,ALL,semantic_diversity_score,0.3180336352231689,0.5639093485879201,12,12,2.0,6.0057602968049e-05,-0.9722222222222222
within_complexity,Simple,lexical_query_overlap,0.039896103896103895,0.03814393939393939,4,4,6.0,0.6857142857142857,-0.25
within_complexity,Simple,semantic_similarity_to_CQ,0.7058084415584416,0.7213068181818181,4,4,5.0,0.4857142857142857,-0.375
within_complexity,Simple,semantic_soft_coverage_to_CQ,0.7720681818181818,0.7641287878787879,4,4,10.0,0.6857142857142857,0.25
within_complexity,Simple,semantic_diversity_score,0.28215093795093793,0.645190867003367,4,4,0.0,0.02857142857142857,-1.0
within_complexity,Moderate,lexical_query_overlap,0.051840277777777784,0.07712797619047619,4,4,4.5,0.38363032713198975,-0.4375
within_complexity,Moderate,semantic_similarity_to_CQ,0.5396180555555555,0.6981398809523809,4,4,9.0,0.8857142857142857,0.125
within_complexity,Moderate,semantic_soft_coverage_to_CQ,0.5805208333333334,0.7571577380952381,4,4,9.0,0.8857142857142857,0.125
within_complexity,Moderate,semantic_diversity_score,0.31469907407407405,0.5774084821428571,4,4,0.0,0.02857142857142857,-1.0
within_complexity,Complex,lexical_query_overlap,0.026731150793650793,0.047098214285714285,4,4,5.0,0.4857142857142857,-0.375
within_complexity,Complex,semantic_similarity_to_CQ,0.7221031746031746,0.6998928571428571,4,4,14.5,0.08142910235989108,0.8125
within_complexity,Complex,semantic_soft_coverage_to_CQ,0.7691071428571429,0.7682678571428572,4,4,9.0,0.8857142857142857,0.125
within_complexity,Complex,semantic_diversity_score,0.3572508936444948,0.46912869661753587,4,4,0.0,0.02857142857142857,-1.0
